[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 07:11:27
[CLIENT-1-SCAFFOLD] Run ID: 20260325_071127
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_binary_sslcon\logs\client_1_20260325_071127.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: sslcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1392
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 76 | Loss=4.9053 | Acc(G)=0.3591 | Acc(P)=0.9586 | F1(P)=0.9477 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 77 | Loss=4.8403 | Acc(G)=0.4127 | Acc(P)=0.9601 | F1(P)=0.9495 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 78 | Loss=4.9110 | Acc(G)=0.3596 | Acc(P)=0.9599 | F1(P)=0.9493 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 79 | Loss=4.8369 | Acc(G)=0.4121 | Acc(P)=0.9599 | F1(P)=0.9492 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 80 | Loss=4.8930 | Acc(G)=0.3520 | Acc(P)=0.9515 | F1(P)=0.9392 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 81 | Loss=4.8418 | Acc(G)=0.4115 | Acc(P)=0.9601 | F1(P)=0.9494 | Time=15.2s
[CLIENT-1-SCAFFOLD]   Round 82 | Loss=4.9081 | Acc(G)=0.3513 | Acc(P)=0.9602 | F1(P)=0.9496 | Time=15.0s
[CLIENT-1-SCAFFOLD]   Round 83 | Loss=4.8397 | Acc(G)=0.4122 | Acc(P)=0.9518 | F1(P)=0.9393 | Time=15.0s
[CLIENT-1-SCAFFOLD]   Round 84 | Loss=4.9049 | Acc(G)=0.3517 | Acc(P)=0.9597 | F1(P)=0.9490 | Time=14.8s
[CLIENT-1-SCAFFOLD]   Round 85 | Loss=4.8476 | Acc(G)=0.4118 | Acc(P)=0.9596 | F1(P)=0.9488 | Time=14.9s
[CLIENT-1-SCAFFOLD]   Round 86 | Loss=4.9110 | Acc(G)=0.3500 | Acc(P)=0.9586 | F1(P)=0.9477 | Time=15.4s
[CLIENT-1-SCAFFOLD]   Round 87 | Loss=4.8343 | Acc(G)=0.4115 | Acc(P)=0.9583 | F1(P)=0.9473 | Time=15.4s
[CLIENT-1-SCAFFOLD]   Round 88 | Loss=4.8854 | Acc(G)=0.3481 | Acc(P)=0.9585 | F1(P)=0.9475 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 89 | Loss=4.8451 | Acc(G)=0.4118 | Acc(P)=0.9593 | F1(P)=0.9486 | Time=6.2s
[CLIENT-1-SCAFFOLD]   Round 90 | Loss=4.9053 | Acc(G)=0.3503 | Acc(P)=0.9526 | F1(P)=0.9405 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 91 | Loss=4.8429 | Acc(G)=0.4109 | Acc(P)=0.9606 | F1(P)=0.9502 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 92 | Loss=4.9028 | Acc(G)=0.3486 | Acc(P)=0.9519 | F1(P)=0.9396 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 93 | Loss=4.8458 | Acc(G)=0.4100 | Acc(P)=0.9591 | F1(P)=0.9483 | Time=5.5s
[CLIENT-1-SCAFFOLD]   Round 94 | Loss=4.9119 | Acc(G)=0.3489 | Acc(P)=0.9511 | F1(P)=0.9387 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 95 | Loss=4.8511 | Acc(G)=0.4106 | Acc(P)=0.9600 | F1(P)=0.9494 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 96 | Loss=4.9032 | Acc(G)=0.3487 | Acc(P)=0.9509 | F1(P)=0.9386 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 97 | Loss=4.8418 | Acc(G)=0.4107 | Acc(P)=0.9602 | F1(P)=0.9496 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 98 | Loss=4.9038 | Acc(G)=0.3491 | Acc(P)=0.9522 | F1(P)=0.9401 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 99 | Loss=4.8482 | Acc(G)=0.4101 | Acc(P)=0.9600 | F1(P)=0.9493 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 100 | Loss=4.9061 | Acc(G)=0.3447 | Acc(P)=0.9525 | F1(P)=0.9404 | Time=16.1s
[CLIENT-1-SCAFFOLD] Received SHUTDOWN. Training complete.
[CLIENT-1-SCAFFOLD] Client done.
